date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:30	792/792	---M--	200	added ('OK')	application/javascript	etag:W/%22318-19a5425d588%22	https://webcdn.getjusto.com/assets/useLocalStorage-DsJe66XE.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/useLocalStorage-DsJe66XE.js	(from https://www.hanoisushi.cl/pedir)
11:13:30	452/452	---M--	200	added ('OK')	application/javascript	etag:W/%221c4-19a5425d588%22	https://webcdn.getjusto.com/assets/isJustoApp-DujzpsFs.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/isJustoApp-DujzpsFs.js	(from https://www.hanoisushi.cl/pedir)
11:13:31	173/173	---M--	200	added ('OK')	application/javascript	etag:W/%22ad-19a5425d588%22	https://webcdn.getjusto.com/assets/uniqueId-DlOYuaFD.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/uniqueId-DlOYuaFD.js	(from https://www.hanoisushi.cl/pedir)
11:13:31	33513/33513	---MCZ	200	added ('OK')	application/javascript	etag:W/%2282e9-19a5425d970%22	https://webcdn.getjusto.com/assets/parser-CklOqoDN.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/parser-CklOqoDN.js	(from https://www.hanoisushi.cl/pedir)
11:13:31	395/395	---M--	200	added ('OK')	application/javascript	etag:W/%2218b-19a5425d588%22	https://webcdn.getjusto.com/assets/index-BJLV6hUK.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-BJLV6hUK.js	(from https://www.hanoisushi.cl/pedir)
11:13:31	36750/36750	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f8e-19a5425d970%22	https://webcdn.getjusto.com/assets/index-BHERncwe.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-BHERncwe.js	(from https://www.hanoisushi.cl/pedir)
11:13:32	9344/9344	---MCZ	200	added ('OK')	application/javascript	etag:W/%222480-19a5425d970%22	https://webcdn.getjusto.com/assets/tooltip-saQE01Fr.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/tooltip-saQE01Fr.js	(from https://www.hanoisushi.cl/pedir)
11:13:32	9124/9124	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223a4-19a5425d970%22	https://webcdn.getjusto.com/assets/index-u35E67kG.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-u35E67kG.js	(from https://www.hanoisushi.cl/pedir)
11:13:32	489/489	---M--	200	added ('OK')	application/javascript	etag:W/%221e9-19a5425d970%22	https://webcdn.getjusto.com/assets/round-BOm5nOcu.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/round-BOm5nOcu.js	(from https://www.hanoisushi.cl/pedir)
11:13:32	1485/1485	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cd-19a5425d588%22	https://webcdn.getjusto.com/assets/react-error-boundary.esm-Bqh86cdX.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/react-error-boundary.esm-Bqh86cdX.js	(from https://www.hanoisushi.cl/pedir)
11:13:32	2243/2243	---MCZ	200	added ('OK')	application/javascript	etag:W/%228c3-19a5425d970%22	https://webcdn.getjusto.com/assets/index-cWEE_j1p.js	C:/My%20Web%20Sites/hanoi%20sushi/webcdn.getjusto.com/assets/index-cWEE_j1p.js	(from https://www.hanoisushi.cl/pedir)
